Date,Account,Amount (Rs),Amount (Millions),Asset Class
Aug//2024,Alfalah Investments CG,2501702,2.5,Money Market
Aug//2024,BAHL Account,20182671,20.18,Cash 
Aug//2024,Cash In Hand,0,0,Cash 
Aug//2024,Chase Securities,20000000,20,Fixed Income
Aug//2024,Cosmopoliton,46200000,46.2,Real Estate
Aug//2024,Faysal Funds AH,65125539,65.13,Money Market
Aug//2024,Faysal Funds CG,127967565,127.97,Money Market
Aug//2024,Highway,21500000,21.5,Real Estate
Aug//2024,Jamal,20000000,20,Debt
Aug//2024,KP,31000000,31,Real Estate
Aug//2024,Mohsin,15000000,15,Debt
Aug//2024,NHS,175000000,175,Real Estate
Aug//2024,PECHS,50000000,50,Real Estate
Aug//2024,Sukkuk Bonds AH,43900000,43.9,Goverment Bonds
Aug//2024,USA,13850000,13.85,Cash 
Aug//2024,ZB,13700000,13.7,Real Estate
Sep//2024,Alfalah Investments CG,2637640,2.64,Money Market
Sep//2024,BAHL Account,1152191,1.15,Cash 
Sep//2024,Cash In Hand,2870000,2.87,Cash 
Sep//2024,Chase Securities,40000000,40,Fixed Income
Sep//2024,Cosmopoliton,28950000,28.95,Real Estate
Sep//2024,Faysal Funds AH,66179020,66.18,Money Market
Sep//2024,Faysal Funds CG,152876411,152.88,Money Market
Sep//2024,Highway,25000000,25,Real Estate
Sep//2024,Jamal,20000000,20,Debt
Sep//2024,KP,31000000,31,Real Estate
Sep//2024,Mohsin,15000000,15,Debt
Sep//2024,NHS,175000000,175,Real Estate
Sep//2024,PECHS,50000000,50,Real Estate
Sep//2024,Sukkuk Bonds AH,43900000,43.9,Goverment Bonds
Sep//2024,USA,13850000,13.85,Cash 
Sep//2024,ZB,27450000,27.45,Real Estate
Oct//2024,Alfalah Investments CG,5170327,5.17,Money Market
Oct//2024,BAHL Account,997990,1,Cash 
Oct//2024,Cash In Hand,1200000,1.2,Cash 
Oct//2024,Chase Securities,40000000,40,Fixed Income
Oct//2024,Cosmopoliton,28950000,28.95,Real Estate
Oct//2024,Faysal Funds AH,67079908,67.08,Money Market
Oct//2024,Faysal Funds CG,114659314,114.66,Money Market
Oct//2024,Faysal MB,55351369,55.35,Money Market
Oct//2024,Highway,25000000,25,Real Estate
Oct//2024,Jamal,20000000,20,Debt
Oct//2024,KP,31000000,31,Real Estate
Oct//2024,Mohsin,15000000,15,Debt
Oct//2024,NHS,175000000,175,Real Estate
Oct//2024,PECHS,50000000,50,Real Estate
Oct//2024,Sukkuk Bonds AH,43900000,43.9,Goverment Bonds
Oct//2024,USA,14773640,14.77,Cash 
Oct//2024,ZB,27450000,27.45,Real Estate
Nov//2024,Alfalah Investments CG,10763394,10.76,Money Market
Nov//2024,BAHL Account,2175841,2.18,Cash 
Nov//2024,Cash In Hand,150000,0.15,Cash 
Nov//2024,Chase Securities,40000000,40,Fixed Income
Nov//2024,Cosmopoliton,28950000,28.95,Real Estate
Nov//2024,Faysal Funds AH,67858725,67.86,Money Market
Nov//2024,Faysal Funds CG,101537202,101.54,Money Market
Nov//2024,Faysal MB,56006532,56.01,Money Market
Nov//2024,Highway,25000000,25,Real Estate
Nov//2024,Jamal,20000000,20,Debt
Nov//2024,KP,31000000,31,Real Estate
Nov//2024,Loan out,20000000,20,Cash 
Nov//2024,Mohsin,15000000,15,Debt
Nov//2024,NHS,175000000,175,Real Estate
Nov//2024,PECHS,50000000,50,Real Estate
Nov//2024,Sukkuk Bonds AH,43900000,43.9,Goverment Bonds
Nov//2024,USA,14773640,14.77,Cash 
Nov//2024,ZB,27450000,27.45,Real Estate
Dec//2024,Alfalah Investments CG,20947278,20.95,Money Market
Dec//2024,BAHL Account,114000,0.11,Cash 
Dec//2024,Cash In Hand,200000,0.2,Cash 
Dec//2024,Chase Securities,40000000,40,Fixed Income
Dec//2024,Cosmopoliton,28950000,28.95,Real Estate
Dec//2024,Faysal Funds AH,68570529,68.57,Money Market
Dec//2024,Faysal Funds CG,106689932,106.69,Money Market
Dec//2024,Faysal MB,56626052,56.63,Money Market
Dec//2024,Highway,30000000,30,Real Estate
Dec//2024,Jamal,20000000,20,Debt
Dec//2024,KP,31000000,31,Real Estate
Dec//2024,Loan out,20000000,20,Cash 
Dec//2024,Mohsin,15000000,15,Debt
Dec//2024,NHS,175000000,175,Real Estate
Dec//2024,PECHS,50000000,50,Real Estate
Dec//2024,Sukkuk Bonds AH,43900000,43.9,Goverment Bonds
Dec//2024,USA,14773640,14.77,Cash 
Dec//2024,ZB,27450000,27.45,Real Estate
Jan//2025,Alfalah Investments CG,0,0,Money Market
Jan//2025,BAHL Account,8566672,8.57,Cash 
Jan//2025,Baba CNG,20000000,20,Real Estate
Jan//2025,Cash In Hand,300000,0.3,Cash 
Jan//2025,Chase Securities,60000000,60,Fixed Income
Jan//2025,Cosmopoliton,28950000,28.95,Real Estate
Jan//2025,Faysal Funds AH,68549926,68.55,Money Market
Jan//2025,Faysal Funds CG,114342540,114.34,Money Market
Jan//2025,Faysal MB,57197769,57.2,Money Market
Jan//2025,Highway,30000000,30,Real Estate
Jan//2025,Jamal,20000000,20,Debt
Jan//2025,KP,31000000,31,Real Estate
Jan//2025,Loan out,20000000,20,Cash 
Jan//2025,Mohsin,15000000,15,Debt
Jan//2025,NHS,175000000,175,Real Estate
Jan//2025,PECHS,50000000,50,Real Estate
Jan//2025,Sukkuk Bonds AH,23405500,23.41,Goverment Bonds
Jan//2025,USA,14773640,14.77,Cash 
Jan//2025,ZB,27450000,27.45,Real Estate
Feb//2025,Alfalah Investments CG,0,0,Money Market
Feb//2025,BAHL Account,8175600,8.18,Cash 
Feb//2025,Baba CNG,20000000,20,Real Estate
Feb//2025,Cash In Hand,100000,0.1,Cash 
Feb//2025,Chase Securities,60000000,60,Fixed Income
Feb//2025,Cosmopoliton,28950000,28.95,Real Estate
Feb//2025,Faysal Funds AH,69047766,69.05,Money Market
Feb//2025,Faysal Funds CG,153246669,153.25,Money Market
Feb//2025,Faysal MB,57670438,57.67,Money Market
Feb//2025,Highway,30000000,30,Real Estate
Feb//2025,Jamal,20000000,20,Debt
Feb//2025,KP,31000000,31,Real Estate
Feb//2025,Loan out,500000,0.5,Cash 
Feb//2025,Mohsin,15000000,15,Debt
Feb//2025,NHS,175000000,175,Real Estate
Feb//2025,PECHS,50000000,50,Real Estate
Feb//2025,Sukkuk Bonds AH,23405500,23.41,Goverment Bonds
Feb//2025,USA,14773640,14.77,Cash 
Feb//2025,ZB,27450000,27.45,Real Estate
Mar//2025,Alfalah Investments CG,0,0,Money Market
Mar//2025,BAHL Account,622660,0.62,Cash 
Mar//2025,Baba CNG,20000000,20,Real Estate
Mar//2025,Cash In Hand,500000,0.5,Cash 
Mar//2025,Chase Securities,60000000,60,Fixed Income
Mar//2025,Cosmopoliton,28950000,28.95,Real Estate
Mar//2025,Faysal Funds AH,69594853,69.59,Money Market
Mar//2025,Faysal Funds CG,181516410,181.52,Money Market
Mar//2025,Faysal MB,58114807,58.11,Money Market
Mar//2025,Highway,30000000,30,Real Estate
Mar//2025,Jamal,20000000,20,Debt
Mar//2025,KP,31000000,31,Real Estate
Mar//2025,Loan out,1800000,1.8,Cash 
Mar//2025,Mohsin,15000000,15,Debt
Mar//2025,NHS,175000000,175,Real Estate
Mar//2025,PECHS,50000000,50,Real Estate
Mar//2025,Sukkuk Bonds AH,23405500,23.41,Goverment Bonds
Mar//2025,USA,14773640,14.77,Cash 
Mar//2025,ZB,27450000,27.45,Real Estate
Apr//2025,Alfalah Investments CG,0,0,Money Market
Apr//2025,BAHL Account,1564292,1.56,Cash 
Apr//2025,Baba CNG,20000000,20,Real Estate
Apr//2025,Cash In Hand,600000,0.6,Cash 
Apr//2025,Chase Securities,60000000,60,Fixed Income
Apr//2025,Cosmopoliton,28950000,28.95,Real Estate
Apr//2025,DXB EC,26346000,26.35,Real Estate
Apr//2025,FS/PKB/CS/DEV/TB,20000000,20,FetchSky
Apr//2025,Faysal Funds AH,70056462,70.06,Money Market
Apr//2025,Faysal Funds CG,101649156,101.65,Money Market
Apr//2025,Faysal MB,58548752,58.55,Money Market
Apr//2025,Highway,30000000,30,Real Estate
Apr//2025,Jamal,20000000,20,Debt
Apr//2025,KP,31000000,31,Real Estate
Apr//2025,Loan out,51200000,51.2,Cash 
Apr//2025,Mohsin,15000000,15,Debt
Apr//2025,NHS,175000000,175,Real Estate
Apr//2025,PECHS,50000000,50,Real Estate
Apr//2025,Sukkuk Bonds AH,23405500,23.41,Goverment Bonds
Apr//2025,USA,14773640,14.77,Cash 
Apr//2025,ZB,27450000,27.45,Real Estate
May//2025,Alfalah Investments CG,0,0,Money Market
May//2025,BAHL Account,24521224,24.52,Cash 
May//2025,Baba CNG,20000000,20,Real Estate
May//2025,Cash In Hand,891781,0.89,Cash 
May//2025,Chase Securities,60000000,60,Fixed Income
May//2025,Cosmopoliton,28950000,28.95,Real Estate
May//2025,DXB EC,26346000,26.35,Real Estate
May//2025,FS/PKB/CS/DEV/TB,55000000,55,FetchSky
May//2025,Faysal Funds AH,70669958,70.67,Money Market
May//2025,Faysal Funds CG,132537536,132.54,Money Market
May//2025,Faysal MB,59004169,59,Money Market
May//2025,Highway,30000000,30,Real Estate
May//2025,Jamal,20000000,20,Debt
May//2025,KP,31000000,31,Real Estate
May//2025,Loan out,1200000,1.2,Cash 
May//2025,Mohsin,15000000,15,Debt
May//2025,NHS,175000000,175,Real Estate
May//2025,PECHS,50000000,50,Real Estate
May//2025,USA,14136660,14.14,Cash 
May//2025,USD Cash,1212600,1.21,Cash 
May//2025,ZB,27450000,27.45,Real Estate
Jun//2025,Alfalah Investments CG,60356485,60.36,Money Market
Jun//2025,BAHL Account,9559467,9.56,Cash 
Jun//2025,BAHL Loan,-50000000,-50,Loan
Jun//2025,Baba CNG,20000000,20,Real Estate
Jun//2025,Cash In Hand,1000000,1,Cash 
Jun//2025,Chase Securities,90000000,90,Fixed Income
Jun//2025,Chase Stock Account,22171661,22.17,Equity
Jun//2025,Cosmopoliton,28950000,28.95,Real Estate
Jun//2025,DXB EC,44560500,44.56,Real Estate
Jun//2025,FS/PKB/CS/DEV/TB,55000000,55,FetchSky
Jun//2025,Faysal Funds AH,35411640,35.41,Money Market
Jun//2025,Faysal Funds CG,103126789,103.13,Money Market
Jun//2025,Faysal MB,59004169,59,Money Market
Jun//2025,Highway,30000000,30,Real Estate
Jun//2025,Jamal,20000000,20,Debt
Jun//2025,KP,31000000,31,Real Estate
Jun//2025,Loan out,1800000,1.8,Cash 
Jun//2025,Mohsin,15000000,15,Debt
Jun//2025,NHS,175000000,175,Real Estate
Jun//2025,PECHS,50000000,50,Real Estate
Jun//2025,USA,14136660,14.14,Cash 
Jun//2025,USD Cash,1212600,1.21,Cash 
Jun//2025,ZB,27450000,27.45,Real Estate
Jul//2025,Alfalah Investments CG,60863743,60.86,Money Market
Jul//2025,BAHL Account,10919089,10.92,Cash 
Jul//2025,BAHL Loan,-50000000,-50,Loan
Jul//2025,Baba CNG,20000000,20,Real Estate
Jul//2025,Cash In Hand,8624302,8.62,Cash 
Jul//2025,Chase Securities,90000000,90,Fixed Income
Jul//2025,Chase Stock Account,22924884,22.92,Equity
Jul//2025,Cosmopoliton,13950000,13.95,Real Estate
Jul//2025,DXB EC,44560500,44.56,Real Estate
Jul//2025,FS/PKB/CS/DEV/TB,85000000,85,FetchSky
Jul//2025,Faysal Funds AH,35687922,35.69,Money Market
Jul//2025,Faysal Funds CG,88854347,88.85,Money Market
Jul//2025,Faysal MB,59004169,59,Money Market
Jul//2025,Highway,36000000,36,Real Estate
Jul//2025,Jamal,20000000,20,Debt
Jul//2025,KP,31000000,31,Real Estate
Jul//2025,Loan out,2300000,2.3,Cash 
Jul//2025,Mohsin,15000000,15,Debt
Jul//2025,NHS,175000000,175,Real Estate
Jul//2025,PECHS,50000000,50,Real Estate
Jul//2025,USA,11547618,11.55,Cash 
Jul//2025,USD Cash,1212600,1.21,Cash 
Jul//2025,ZB,27450000,27.45,Real Estate
Aug//2025,Alfalah Investments CG,83316180,83.32,Money Market
Aug//2025,BAHL Account,300000,0.3,Cash 
Aug//2025,BAHL Loan,-50000000,-50,Loan
Aug//2025,Baba CNG,20000000,20,Real Estate
Aug//2025,Cash In Hand,0,0,Cash 
Aug//2025,Chase Securities,100000000,100,Fixed Income
Aug//2025,Chase Stock 10401,2510411,2.51,Equity
Aug//2025,Chase Stock Account,23800257,23.8,Equity
